Location_id,District Number,Borough,School Number
10358,10,Bronx,368
10359,10,Bronx,382
10360,10,Bronx,386
10361,10,Bronx,390
10362,10,Bronx,391
10363,10,Bronx,396
10364,10,Bronx,447
10365,11,Bronx,016
10366,11,Bronx,019
10367,11,Bronx,021
10368,11,Bronx,041
10369,11,Bronx,068
10370,11,Bronx,076
10371,11,Bronx,078
10372,11,Bronx,083
10373,11,Bronx,087
10374,11,Bronx,089
10375,11,Bronx,096
10376,11,Bronx,097
10377,11,Bronx,103
10378,11,Bronx,105
