Location_id,District Number,Borough,School Number
10615,19,Brooklyn,171
10616,19,Brooklyn,190
10617,19,Brooklyn,202
10618,19,Brooklyn,213
10619,19,Brooklyn,214
10620,19,Brooklyn,218
10621,19,Brooklyn,224
10622,19,Brooklyn,273
10623,19,Brooklyn,290
10624,19,Brooklyn,292
10625,19,Brooklyn,306
10626,19,Brooklyn,325
10627,19,Brooklyn,328
10628,19,Brooklyn,345
10629,19,Brooklyn,346
10630,19,Brooklyn,364
10631,19,Brooklyn,404
10632,19,Brooklyn,409
10633,19,Brooklyn,422
10634,19,Brooklyn,452
10635,19,Brooklyn,557
10636,19,Brooklyn,654
10637,19,Brooklyn,661
10638,19,Brooklyn,662
10639,19,Brooklyn,663
10640,19,Brooklyn,677
10641,19,Brooklyn,678
10642,19,Brooklyn,760
10643,19,Brooklyn,907
10644,19,Brooklyn,935
10645,20,Brooklyn,030
10646,20,Brooklyn,048
10647,20,Brooklyn,062
10648,20,Brooklyn,069
10649,20,Brooklyn,102
10650,20,Brooklyn,104
10651,20,Brooklyn,105
10652,20,Brooklyn,112
10653,20,Brooklyn,127
10654,20,Brooklyn,160
10655,20,Brooklyn,163
10656,20,Brooklyn,164
10657,20,Brooklyn,170
10658,20,Brooklyn,176
10659,20,Brooklyn,179
10660,20,Brooklyn,180
10661,20,Brooklyn,185
10662,20,Brooklyn,186
10663,20,Brooklyn,187
10664,20,Brooklyn,192
10665,20,Brooklyn,200
10666,20,Brooklyn,201
10667,20,Brooklyn,204
10668,20,Brooklyn,205
10669,20,Brooklyn,220
10670,20,Brooklyn,223
10671,20,Brooklyn,227
10672,20,Brooklyn,229
10673,20,Brooklyn,247
10674,20,Brooklyn,259
10675,20,Brooklyn,264
10676,20,Brooklyn,310
10677,20,Brooklyn,503
10678,20,Brooklyn,506
10679,20,Brooklyn,609
10680,20,Brooklyn,682
10681,20,Brooklyn,686
10682,20,Brooklyn,748
10683,20,Brooklyn,936
10684,20,Brooklyn,971
10685,21,Brooklyn,090
10686,21,Brooklyn,095
10687,21,Brooklyn,096
10688,21,Brooklyn,097
10689,21,Brooklyn,098
10690,21,Brooklyn,099
10691,21,Brooklyn,100
10692,21,Brooklyn,101
10693,21,Brooklyn,121
10694,21,Brooklyn,128
10695,21,Brooklyn,153
10696,21,Brooklyn,177
10697,21,Brooklyn,188
10698,21,Brooklyn,199
10699,21,Brooklyn,209
10700,21,Brooklyn,212
10701,21,Brooklyn,215
10702,21,Brooklyn,216
10703,21,Brooklyn,225
10704,21,Brooklyn,226
10705,21,Brooklyn,228
10706,21,Brooklyn,238
10707,21,Brooklyn,239
10708,21,Brooklyn,253
10709,27,Queens,253
10710,21,Brooklyn,281
10711,21,Brooklyn,288
10712,21,Brooklyn,303
10713,21,Brooklyn,329
10714,21,Brooklyn,468
10715,21,Brooklyn,690
10716,22,Brooklyn,014
10717,22,Brooklyn,052
10718,22,Brooklyn,078
10719,22,Brooklyn,109
10720,22,Brooklyn,119
10721,22,Brooklyn,134
10722,22,Brooklyn,139
10723,22,Brooklyn,152
10724,22,Brooklyn,193
10725,22,Brooklyn,194
10726,22,Brooklyn,195
10727,22,Brooklyn,197
10728,22,Brooklyn,198
10729,22,Brooklyn,203
10730,22,Brooklyn,206
10731,22,Brooklyn,207
10732,22,Brooklyn,217
10733,22,Brooklyn,222
10734,22,Brooklyn,234
10735,22,Brooklyn,236
10736,22,Brooklyn,240
10737,22,Brooklyn,245
10738,22,Brooklyn,251
10739,22,Brooklyn,254
10740,22,Brooklyn,255
10741,22,Brooklyn,277
10742,22,Brooklyn,278
10743,22,Brooklyn,312
10744,22,Brooklyn,315
10745,22,Brooklyn,361
10746,22,Brooklyn,381
10747,22,Brooklyn,889
10748,22,Brooklyn,890
10749,23,Brooklyn,041
10750,23,Brooklyn,137
10751,23,Brooklyn,150
10752,23,Brooklyn,155
10753,23,Brooklyn,156
10754,23,Brooklyn,165
10755,23,Brooklyn,178
10756,23,Brooklyn,184
10757,23,Brooklyn,284
10758,23,Brooklyn,298
10759,23,Brooklyn,323
10760,23,Brooklyn,327
10761,23,Brooklyn,363
10762,23,Brooklyn,392
10763,23,Brooklyn,401
10764,23,Brooklyn,446
10765,23,Brooklyn,518
10766,23,Brooklyn,522
10767,23,Brooklyn,599
10768,23,Brooklyn,644
10769,23,Brooklyn,664
10770,23,Brooklyn,668
10771,23,Brooklyn,671
10772,24,Queens,005
10773,24,Queens,007
10774,24,Queens,012
10775,24,Queens,013
10776,24,Queens,014
10777,24,Queens,016
10778,24,Queens,019
10779,24,Queens,049
10780,24,Queens,058
10781,24,Queens,061
10782,24,Queens,068
10783,24,Queens,071
10784,24,Queens,073
10785,24,Queens,077
10786,24,Queens,081
10787,24,Queens,087
10788,24,Queens,088
10789,24,Queens,089
10790,24,Queens,091
10791,24,Queens,093
10792,24,Queens,102
10793,24,Queens,110
10794,24,Queens,113
10795,24,Queens,119
10796,24,Queens,125
10797,24,Queens,128
10798,24,Queens,143
10799,24,Queens,153
10800,24,Queens,199
10801,24,Queens,211
10802,24,Queens,229
10803,24,Queens,239
10804,24,Queens,290
10805,24,Queens,305
10806,24,Queens,307
10807,24,Queens,311
10808,24,Queens,330
10809,24,Queens,343
10810,24,Queens,560
10811,25,Queens,020
10812,25,Queens,021
10813,25,Queens,022
